Tuesday 25th
FUBO 09 - 12:00 T20 World Cup: Australia vs Sri Lanka

FUBO 01 - 17:45	UCL: Salzburg vs Chelsea 
FUBO 02 - 17:45	UCL: Salzburg vs Chelsea 
FUBO 03 - 17:45	UCL: Sevilla vs København 
FUBO 01 - 20:00	UCL: Borussia Dortmund vs Manchester City 
FUBO 02 - 20:00	UCL: Borussia Dortmund vs Manchester City 
FUBO 03 - 20:00	UCL: RB Leipzig vs Real Madrid 
FUBO 04 - 20:00	UCL: PSG vs Maccabi Haifa 
FUBO 05 - 20:00	UCL: Dinamo Zagreb vs Milan 
FUBO 06 - 20:00	UCL: Celtic vs Shakhtar Donetsk 
FUBO 07 - 20:00	UCL: Benfica vs Juventus 
FUBO 08 - 20:00	EFL: Burnley vs Norwich City

EVENTS ARE ADDED REGULARLY - CHECK BACK BEFORE YOUR EVENT STARTS
